# Program:featureCounts v2.0.0; Command:"/Volumes/userdata/staff_users/michaelblack/bin/featureCounts" "-a" "../Genome/Saccharomyces_cerevisiae.R64-1-1.99.gtf" "-o" "yeast_counts_all_chr.txt" "../STAR/SRR014335-Aligned.out.sam" "../STAR/SRR014336-Aligned.out.sam" "../STAR/SRR014337-Aligned.out.sam" "../STAR/SRR014339-Aligned.out.sam" "../STAR/SRR014340-Aligned.out.sam" "../STAR/SRR014341-Aligned.out.sam" 
Geneid	Chr	Start	End	Strand	Length	../STAR/SRR014335-Aligned.out.sam	../STAR/SRR014336-Aligned.out.sam	../STAR/SRR014337-Aligned.out.sam	../STAR/SRR014339-Aligned.out.sam	../STAR/SRR014340-Aligned.out.sam	../STAR/SRR014341-Aligned.out.sam
YDL248W	IV	1802	2953	+	1152	52	46	36	65	70	78
YDL247W-A	IV	3762	3836	+	75	0	0	0	0	1	0
YDL247W	IV	5985	7814	+	1830	2	4	2	6	8	5
YDL246C	IV	8683	9756	-	1074	0	0	1	1	2	0
YDL245C	IV	11657	13360	-	1704	0	3	0	5	7	4
YDL244W	IV	16204	17226	+	1023	6	6	5	20	30	19
YDL243C	IV	17577	18566	-	990	54	54	47	70	83	70
YDL242W	IV	18959	19312	+	354	12	20	12	26	26	25
YDL241W	IV	20635	21006	+	372	18	21	18	40	44	54
YDL240C-A	IV	22471	22608	-	138	0	0	1	1	3	5
YDL240W	IV	22823	25876	+	3054	105	116	116	188	215	183
YDL239C	IV	26403	28775	-	2373	306	307	280	245	269	229
YDL238C	IV	28985	30454	-	1470	387	376	379	259	275	260
YDL237W	IV	30657	31829	+	1173	441	481	467	407	432	407
YDL236W	IV	32296	33234	+	939	564	510	497	536	588	575
YDL235C	IV	33415	33918	-	504	214	190	200	275	324	366
YDL234C	IV	34237	36477	-	2241	695	705	666	903	834	903
YDL233W	IV	36797	38173	+	1377	278	249	260	209	165	170
YDL232W	IV	38487	38597	+	111	198	168	155	242	224	226
YDL231C	IV	38867	42244	-	3378	1020	1085	1016	911	968	976
YDL230W	IV	42700	43707	+	1008	528	508	487	395	452	423
YDL229W	IV	44065	45906	+	1842	706	729	682	780	802	809
YDL228C	IV	45277	45918	-	642	0	1	0	0	0	0
YDL227C	IV	46271	48031	-	1761	46	36	26	109	108	115
YDL226C	IV	51115	52173	-	1059	653	653	681	384	405	411
YDL225W	IV	52445	54100	+	1656	405	353	364	574	610	566
YDL224C	IV	54397	56346	-	1950	1107	1086	1110	719	734	672
YDL223C	IV	57265	60405	-	3141	15211	15078	14742	5196	5180	5011
YDL222C	IV	60872	61801	-	930	5050	4996	4772	362	395	429
YDL221W	IV	62011	62562	+	552	57	59	71	76	64	63
YDL220C	IV	62244	65018	-	2775	315	327	289	322	332	284
YDL219W	IV;IV	65242;65378	65306;65765	+;+	453	88	95	98	220	236	210
YDL218W	IV	66493	67446	+	954	217	234	201	81	71	67
YDL217C	IV	67983	68606	-	624	217	191	219	208	210	188
YDL216C	IV	68997	70319	-	1323	185	174	189	283	309	283
YDL215C	IV	70640	73918	-	3279	1035	1000	952	1023	1059	1039
YDL214C	IV	74446	76545	-	2100	1834	1817	1770	2121	2162	2012
YDL213C	IV	77289	77966	-	678	97	104	92	807	832	741
YDL212W	IV	78426	79058	+	633	713	714	684	893	893	884
YDL211C	IV	79294	80412	-	1119	65	74	74	149	132	147
tG(GCC)D1	IV	83548	83618	+	71	0	0	0	0	2	0
YDL210W	IV	84270	85985	+	1716	85	77	97	137	133	133
YDL209C	IV	86207	87226	-	1020	76	72	73	188	186	188
YDL208W	IV	87512	87982	+	471	141	143	119	586	610	571
YDL207W	IV	88248	89864	+	1617	970	1056	962	986	1042	1020
YDL206W	IV	90176	92464	+	2289	569	547	591	820	795	791
YDL205C	IV	92762	93745	-	984	333	336	344	346	308	320
YDL204W	IV	94605	95786	+	1182	7498	7397	7235	2202	2224	2157
YDL203C	IV	96082	97953	-	1872	334	329	341	292	260	244
YDL202W	IV	98475	99224	+	750	108	128	120	198	170	189
YDL201W	IV	99561	100421	+	861	148	136	153	160	158	156
YDL200C	IV	100501	101067	-	567	87	67	64	159	187	151
YDL199C	IV	101290	103353	-	2064	767	797	726	331	352	316
YDL198C	IV	103649	104551	-	903	275	242	257	171	198	204
YDL197C	IV	104917	106494	-	1578	309	292	290	350	378	334
YDL196W	IV	106741	107070	+	330	24	22	24	35	36	35
YDL195W	IV	107208	111029	+	3822	5040	5146	5078	1779	1751	1728
YDL194W	IV	111580	114234	+	2655	315	306	311	212	195	204
YDL193W	IV	114672	115799	+	1128	450	485	420	326	371	361
YDL192W	IV	116321	116866	+	546	785	807	786	1538	1479	1466
YDL191W	IV;IV	117664;118158	117666;118517	+;+	363	371	400	345	1019	1045	1016
YDL190C	IV	118707	121592	-	2886	1474	1477	1371	1161	1224	1141
YDL189W	IV	122216	123589	+	1374	240	209	221	258	305	237
YDL188C	IV	123865	124998	-	1134	596	566	540	425	454	441
YDL187C	IV	125509	125838	-	330	0	3	1	5	5	4
YDL186W	IV	125616	126449	+	834	42	37	38	101	108	82
YDL185C-A	IV	126608	126835	-	228	28	23	39	16	22	21
YDL185W	IV	126787	130002	+	3216	7496	7502	7331	3424	3511	3457
YDL184C	IV	130407	130484	-	78	1672	1687	1654	4103	4198	4029
YDL183C	IV	130871	131833	-	963	66	51	55	150	157	160
YDL182W	IV	133437	134723	+	1287	1186	1180	1131	1706	1840	1748
YDL181W	IV	135179	135436	+	258	332	325	331	240	229	209
YDL180W	IV	135896	137539	+	1644	389	373	364	384	392	396
YDL179W	IV	138291	139205	+	915	74	68	71	141	142	139
YDL178W	IV	139522	141114	+	1593	436	513	450	670	623	625
YDL177C	IV	141209	141721	-	513	54	55	51	95	98	100
YDL176W	IV	142097	144223	+	2127	203	232	170	256	258	242
YDL175C	IV	144484	145518	-	1035	164	122	147	157	147	150
YDL174C	IV	145826	147589	-	1764	1565	1475	1508	1160	1150	1140
YDL173W	IV	148191	149078	+	888	315	300	269	225	213	251
YDL172C	IV	148607	149086	-	480	0	0	0	0	0	0
YDL171C	IV	149203	155640	-	6438	1974	1828	1889	5125	5526	5191
YDL170W	IV	156318	157904	+	1587	320	307	264	251	269	225
YDL169C	IV	158064	158735	-	672	73	94	84	69	73	76
YDL168W	IV	159604	160764	+	1161	1239	1333	1328	1019	1084	999
YDL167C	IV	160995	163154	-	2160	59	59	60	215	191	196
YDL166C	IV	163449	164042	-	594	64	47	74	279	288	294
YDL165W	IV	164290	164865	+	576	174	154	165	272	262	265
YDL164C	IV	164987	167254	-	2268	289	316	285	197	231	201
YDL163W	IV	166956	167258	+	303	0	1	2	1	0	2
YDL162C	IV	167359	167715	-	357	11	5	10	28	28	14
YDL161W	IV	167714	169078	+	1365	699	679	642	979	1020	935
YDL160C-A	IV	169366	169608	-	243	31	33	22	79	122	92
YDL160C	IV	170410	171930	-	1521	1755	1670	1675	1289	1336	1241
YDL159W-A	IV	172182	172313	+	132	4	3	2	7	6	9
YDL159W	IV	172481	174028	+	1548	200	212	202	244	238	234
YDL159C-B	IV	173056	173232	-	177	0	0	0	0	0	0
YDL158C	IV	173866	174174	-	309	12	12	13	34	35	38
YDL157C	IV	174232	174588	-	357	119	108	97	300	294	317
YDL156W	IV	174918	176486	+	1569	150	141	146	169	152	145
YDL155W	IV	176773	178056	+	1284	307	289	285	356	317	276
YDL154W	IV	178334	181039	+	2706	86	119	117	174	167	179
YDL153C	IV	181186	183018	-	1833	48	48	38	549	545	541
YDL152W	IV	182822	183187	+	366	0	0	0	0	0	0
YDL151C	IV	183318	183899	-	582	1	0	0	3	3	3
YDL150W	IV	183343	184611	+	1269	51	31	49	97	118	97
YDL149W	IV	184925	187918	+	2994	215	226	221	214	213	194
YDL148C	IV	188154	190586	-	2433	51	47	65	491	484	519
YDL147W	IV	190924	192261	+	1338	1107	1101	1109	2167	2061	2015
YDL146W	IV	192750	194225	+	1476	304	306	287	203	256	228
YDL145C	IV	194571	198176	-	3606	3435	3334	3218	1783	1815	1692
YDL144C	IV	198662	199732	-	1071	1018	981	951	439	412	436
YDL143W	IV	199996	201582	+	1587	1457	1489	1467	1815	1854	1834
YDL142C	IV	201719	202570	-	852	250	246	222	281	252	276
YDL141W	IV	203039	205111	+	2073	428	374	437	150	156	158
YDL140C	IV	205360	210561	-	5202	6100	6091	5976	4691	4762	4649
YDL139C	IV	211375	212046	-	672	104	122	107	350	355	313
YDL138W	IV	213351	215642	+	2292	369	355	322	469	513	471
YDL137W	IV	216529	217074	+	546	934	878	892	1801	1671	1696
YDL136W	IV;IV	217600;218008	217602;218367	+;+	363	146	147	131	450	493	446
YDL135C	IV	218680	219288	-	609	201	207	237	489	520	519
YDL134C	IV	219662	220771	-	1110	1044	1089	1055	1091	1125	1209
YDL133C-A	IV	221724	221801	-	78	4612	4532	4564	11226	11402	10794
YDL133W	IV	222427	223740	+	1314	410	445	401	927	942	905
YDL132W	IV	224304	226751	+	2448	1359	1341	1323	1373	1389	1309
YDL131W	IV	227393	228715	+	1323	473	480	472	561	531	538
YDL130W-A	IV	229171	229431	+	261	305	327	342	569	548	491
YDL130W	IV;IV	229906;230321	230019;230527	+;+	321	3342	3333	3202	3764	3832	3675
YDL129W	IV	231024	231899	+	876	584	661	525	381	345	393
YDL128W	IV	232652	233887	+	1236	3261	3126	3197	1843	1964	1846
YDL127W	IV	234927	235853	+	927	87	78	74	77	97	98
YDL126C	IV	236157	238664	-	2508	7225	7424	7256	4116	4143	4002
YDL125C	IV;IV	239019;239510	239398;239606	-;-	477	1967	1978	1835	2189	2184	2094
YDL124W	IV	240259	241197	+	939	5444	5654	5444	2131	2221	2118
YDL123W	IV	241418	241840	+	423	520	485	473	320	309	307
YDL122W	IV	242552	244981	+	2430	753	766	825	819	797	813
YDL121C	IV	245133	245582	-	450	55	57	57	234	254	229
YDL120W	IV	245923	246447	+	525	256	265	219	284	278	272
YDL119C	IV	246689	247612	-	924	70	77	75	112	137	104
YDL118W	IV	247302	247682	+	381	2	3	5	12	16	14
YDL117W	IV	248581	251238	+	2658	325	316	323	328	307	311
YDL116W	IV	251566	253746	+	2181	632	652	641	994	987	1027
YDL115C	IV;IV	253995;255045	254974;255126	-;-	1062	170	144	158	441	461	408
YDL114W-A	IV	254935	255048	+	114	3	1	0	4	4	6
YDL114W	IV	255604	256530	+	927	13	11	14	11	24	21
YDL113C	IV	256633	258555	-	1923	454	452	426	653	624	568
YDL112W	IV	258915	263225	+	4311	411	404	415	484	515	486
YDL111C	IV	263313	264110	-	798	224	234	239	291	332	285
YDL110C	IV	264512	264964	-	453	2284	2249	2240	1241	1219	1189
YDL109C	IV	265258	267201	-	1944	388	397	376	268	270	268
YDL108W	IV;IV	267698;267807	267725;268699	+;+	921	236	232	215	262	259	288
YDL107W	IV	268921	269976	+	1056	60	62	70	207	154	172
YDL106C	IV	270222	271901	-	1680	440	443	403	426	460	433
YDL105W	IV	272389	273597	+	1209	59	55	50	114	142	140
YDL104C	IV	273653	274876	-	1224	64	45	45	109	130	128
YDL103C	IV	275148	276581	-	1434	359	362	380	407	441	419
YDL102W	IV	276872	280165	+	3294	255	272	266	325	320	310
YDL101C	IV	280307	281848	-	1542	166	189	160	199	191	174
YDL100C	IV	282112	283176	-	1065	946	933	951	1925	1977	1889
YDL099W	IV	283419	284444	+	1026	167	176	168	604	543	544
YDL098C	IV	284581	285165	-	585	75	93	88	203	170	170
YDL097C	IV	285391	286695	-	1305	1912	1960	1886	1883	1942	1870
YDL096C	IV	286998	287324	-	327	44	32	36	12	21	15
YDL095W	IV	287059	289512	+	2454	2270	2247	2193	1157	1181	1073
YDL094C	IV	289572	290081	-	510	32	34	32	34	28	36
YDL093W	IV	289909	292140	+	2232	460	453	457	385	388	353
YDL092W	IV	292781	293221	+	441	156	163	130	430	411	451
YDL091C	IV	293392	294759	-	1368	306	305	299	389	377	363
YDL090C	IV	295034	296329	-	1296	216	184	159	284	277	303
YDL089W	IV	296820	298274	+	1455	281	273	286	384	382	417
YDL088C	IV	298417	300003	-	1587	430	402	426	506	579	545
YDL087C	IV	300214	300999	-	786	280	309	238	240	251	218
YDL086W	IV	301413	302234	+	822	482	485	489	488	527	459
